module,mode,frequency_hz,synchronous_component,quadrature_component,gain_linear,gain_db,phase_deg,status,phase_unwrapped_deg,plot_valid
power_path,D2I,1008.052185,127.428600,-82.660700,151.890879984,43.6306339642,-32.9707681467,ok,-32.9707681467,1
power_path,D2I,1055.162842,118.265300,-99.306800,154.429665901,43.7746146376,-40.0200173214,ok,-40.0200173214,1
power_path,D2I,1104.475098,105.293300,-114.393300,155.475098038,43.8332167868,-47.3719866974,ok,-47.3719866974,1
power_path,D2I,1156.092041,89.211200,-126.894300,155.115445968,43.8131009163,-54.8914197432,ok,-54.8914197432,1
power_path,D2I,1210.121216,70.500400,-135.435900,152.686572458,43.6760169214,-62.5010208566,ok,-62.5010208566,1
power_path,D2I,1266.675415,51.201300,-139.966200,149.037278102,43.4658982071,-69.906879546,ok,-69.906879546,1
power_path,D2I,1325.872681,31.987100,-141.070300,144.651319069,43.2064479663,-77.2244443053,ok,-77.2244443053,1
power_path,D2I,1387.836426,13.609100,-138.801700,139.467270446,42.8894460257,-84.4002149274,ok,-84.4002149274,1
power_path,D2I,1452.696045,-3.289500,-133.494100,133.53462302,42.5118776941,-91.4115704966,ok,-91.4115704966,1
power_path,D2I,1520.586792,-18.238000,-126.299700,127.609713048,42.1176746417,-98.2168584765,ok,-98.2168584765,1
power_path,D2I,1591.650391,-31.582500,-117.597000,121.764152012,41.710388972,-105.032942616,ok,-105.032942616,1
power_path,D2I,1666.035034,-43.093400,-107.475600,115.793116026,41.2736548215,-111.848803368,ok,-111.848803368,1
power_path,D2I,1743.896118,-52.338500,-95.938500,109.286386913,40.7713213622,-118.61433,ok,-118.61433,1
power_path,D2I,1825.395874,-59.292600,-84.798300,103.471561782,40.2964200861,-124.96198489,ok,-124.96198489,1
power_path,D2I,1910.704468,-64.448600,-72.338900,96.8841498655,39.7250546558,-131.698671427,ok,-131.698671427,1
power_path,D2I,2000.000000,-67.833800,-57.208100,88.7366391523,38.9620595209,-139.857161146,ok,-139.857161146,1
